Block,Density,Hyb,Weight
1,10,H1,40.7
1,15,H1,24.2
1,25,H1,16.1
1,40,H1,11.2
1,10,H2,39.4
1,15,H2,31.3
1,25,H2,17.9
1,40,H2,14.8
1,10,H3,48.2
1,15,H3,26.2
1,25,H3,20.5
1,40,H3,18.9
2,10,H1,37.8
2,15,H1,44.4
2,25,H1,17.6
2,40,H1,12.7
2,10,H2,47.8
2,15,H2,34.5
2,25,H2,30.5
2,40,H2,17.3
2,10,H3,56.2
2,15,H3,48.1
2,25,H3,28.2
2,40,H3,26.2
3,10,H1,32.9
3,15,H1,27.8
3,25,H1,19.9
3,40,H1,14.5
3,10,H2,44.4
3,15,H2,25.6
3,25,H2,22.5
3,40,H2,17.7
3,10,H3,44.8
3,15,H3,41.1
3,25,H3,30
3,40,H3,19.2
4,10,H1,43.1
4,15,H1,34.1
4,25,H1,20.1
4,40,H1,15.4
4,10,H2,49
4,15,H2,50.4
4,25,H2,25.2
4,40,H2,18.7
4,10,H3,59.3
4,15,H3,46.6
4,25,H3,24.7
4,40,H3,22
